"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1653",28394375.5432147,3269430.11961385,53519320.9668156,-10030912.5745254,66819663.6609548
"1654",28394375.5460023,3197145.80887856,53591605.283126,-10141461.8894251,66930212.9814297
"1655",28394375.5474171,3125068.26984625,53663682.8249879,-10251694.9735674,67040446.0684015
"1656",28394375.5481351,3053195.73859917,53735555.3576711,-10361614.5249896,67150365.6212599
"1657",28394375.5484995,2981526.47595162,53807224.6210475,-10471223.2037284,67259974.3007275
"1658",28394375.5486845,2910058.76706593,53878692.3303031,-10580523.6324938,67369274.7298628
"1659",28394375.5487784,2838790.92102807,53949960.1765287,-10689518.3973625,67478269.4949193
"1660",28394375.548826,2767721.27040847,54021029.8272435,-10798210.0484717,67586961.1461237
"1661",28394375.5488502,2696848.17082097,54091902.9268794,-10906601.100705,67695352.1984054
"1662",28394375.5488625,2626170.00048594,54162581.097239,-11014694.0343665,67803445.1320914
"1663",28394375.5488687,2555685.15980098,54233065.9379364,-11122491.29584,67911242.3935774
"1664",28394375.5488719,2485392.07092034,54303359.0268234,-11229995.2982339,68018746.3959776
"1665",28394375.5488735,2415289.17734371,54373461.9204032,-11337208.4220109,68125959.5197578
"1666",28394375.5488743,2345374.94351463,54443376.1542339,-11444133.0156023,68232884.1133509
"1667",28394375.5488747,2275647.85442823,54513103.2433212,-11550771.3960083,68339522.4937577
"1668",28394375.5488749,2206106.41524832,54582644.6825015,-11657125.8493837,68445876.9471335
"1669",28394375.548875,2136749.15093357,54652001.9468164,-11763198.6316095,68551949.7293595
"1670",28394375.5488751,2067574.60587247,54721176.4918776,-11868991.9688516,68657743.0666017
"1671",28394375.5488751,1998581.3435269,54790169.7542233,-11974508.0581053,68763259.1558555
"1672",28394375.5488751,1929767.9460841,54858983.1516661,-12079749.0677282,68868500.1654784
"1673",28394375.5488751,1861133.01411668,54927618.0836335,-12184717.1379598,68973468.23571
"1674",28394375.5488751,1792675.16625062,54996075.9314996,-12289414.3814294,69078165.4791796
"1675",28394375.5488751,1724393.03884083,55064358.0589094,-12393842.8836521,69182593.9814023
"1676",28394375.5488751,1656285.28565427,55132465.812096,-12498004.7035136,69286755.8012639
"1677",28394375.5488751,1588350.57756025,55200400.52019,-12601901.8737441,69390652.9714943
"1678",28394375.5488751,1520587.6022278,55268163.4955224,-12705536.4013805,69494287.4991307
"1679",28394375.5488751,1452995.06382987,55335756.0339204,-12808910.2682193,69597661.3659695
"1680",28394375.5488751,1385571.68275421,55403179.414996,-12912025.4312584,69700776.5290086
"1681",28394375.5488751,1318316.19532076,55470434.9024295,-13014883.8231298,69803634.92088
"1682",28394375.5488751,1251227.35350528,55537523.7442449,-13117487.3525219,69906238.4502722
"1683",28394375.5488751,1184303.92466914,55604447.1730811,-13219837.9045928,70008589.002343
"1684",28394375.5488751,1117544.69129509,55671206.4064551,-13321937.3413744,70110688.4391246
"1685",28394375.5488751,1050948.45072883,55737802.6470214,-13423787.5021677,70212538.5999179
"1686",28394375.5488751,984514.014926225,55804237.082824,-13525390.2039294,70314141.3016797
"1687",28394375.5488751,918240.210206006,55870510.8875442,-13626747.2416502,70415498.3394005
"1688",28394375.5488751,852125.877007853,55936625.2207424,-13727860.3887246,70516611.4864748
"1689",28394375.5488751,786169.869655706,56002581.2280945,-13828731.3973128,70617482.495063
"1690",28394375.5488751,720371.056126088,56068380.0416241,-13929361.9986953,70718113.0964456
"1691",28394375.5488751,654728.317821439,56134022.7799288,-14029753.9036196,70818505.0013698
"1692",28394375.5488751,589240.549348243,56199510.548402,-14129908.8026391,70918659.9003893
"1693",28394375.5488751,523906.65829983,56264844.4394504,-14229828.3664456,71018579.4641958
"1694",28394375.5488751,458725.565043785,56330025.5327064,-14329514.2461944,71118265.3439446
"1695",28394375.5488751,393696.202513788,56395054.8952364,-14428968.0738227,71217719.1715729
"1696",28394375.5488751,328817.516005781,56459933.5817444,-14528191.462361,71316942.5601112
"1697",28394375.5488751,264088.462978408,56524662.6347718,-14627186.0062389,71415937.1039891
"1698",28394375.5488751,199508.012857541,56589243.0848927,-14725953.2815833,71514704.3793336
"1699",28394375.5488751,135075.146844842,56653675.9509054,-14824494.846512,71613245.9442623
"1700",28394375.5488751,70788.8577302471,56717962.24002,-14922812.2414198,71711563.33917
"1701",28394375.5488751,6648.14970824867,56782102.948042,-15020906.9892598,71809658.08701
"1702",28394375.5488751,-57347.9618020542,56846099.0595523,-15118780.5958185,71907531.6935687
"1703",28394375.5488751,-121200.45033329,56909951.5480835,-15216434.5499856,72005185.6477358
"1704",28394375.5488751,-184910.278542634,56973661.3762929,-15313870.3240182,72102621.4217684
"1705",28394375.5488751,-248478.39838111,57037229.4961313,-15411089.3737998,72199840.47155
"1706",28394375.5488751,-311905.751259565,57100656.8490098,-15508093.139094,72296844.2368442
"1707",28394375.5488751,-375193.268211327,57163944.3659616,-15604883.0437934,72393634.1415436
"1708",28394375.5488751,-438341.870051652,57227092.9678019,-15701460.4961634,72490211.5939136
"1709",28394375.5488751,-501352.46753405,57290103.5652843,-15797826.8890813,72586577.9868315
"1710",28394375.5488751,-564225.961503528,57352977.0592538,-15893983.6002707,72682734.6980209
"1711",28394375.5488751,-626963.24304685,57415714.3407971,-15989931.9925311,72778683.0902814
"1712",28394375.5488751,-689565.193639908,57478316.2913901,-16085673.4139637,72874424.5117139
"1713",28394375.5488751,-752032.685292192,57540783.7830424,-16181209.1981918,72969960.295942
"1714",28394375.5488751,-814366.580688536,57603117.6784388,-16276540.664578,73065291.7623282
"1715",28394375.5488751,-876567.733328089,57665318.8310783,-16371669.1184366,73160420.2161869
"1716",28394375.5488751,-938636.987660702,57727388.0854109,-16466595.8512423,73255346.9489926
"1717",28394375.5488751,-1000575.17922066,57789326.2769709,-16561322.1408345,73350073.2385847
"1718",28394375.5488751,-1062383.13475789,57851134.2325081,-16655849.251618,73444600.3493682
"1719",28394375.5488751,-1124061.67236678,57912812.770117,-16750178.4347603,73538929.5325105
"1720",28394375.5488751,-1185611.60161245,57974362.6993627,-16844310.9283843,73633062.0261346
"1721",28394375.5488751,-1247033.72365477,58035784.821405,-16938247.9577584,73726999.0555086
"1722",28394375.5488751,-1308328.83136997,58097079.9291202,-17031990.7354821,73820741.8332323
"1723",28394375.5488751,-1369497.70947017,58158248.8072204,-17125540.461669,73914291.5594192
"1724",28394375.5488751,-1430541.13462045,58219292.2323707,-17218898.3241259,74007649.4218761
"1725",28394375.5488751,-1491459.87555401,58280210.9733042,-17312065.4985287,74100816.5962789
"1726",28394375.5488751,-1552254.69318506,58341005.7909353,-17405043.1485953,74193794.2463456
"1727",28394375.5488751,-1612926.34071975,58401677.43847,-17497832.4262552,74286583.5240054
"1728",28394375.5488751,-1673475.56376502,58462226.6615152,-17590434.4718156,74379185.5695658
"1729",28394375.5488751,-1733903.10043548,58522654.1981857,-17682850.4141255,74471601.5118758
"1730",28394375.5488751,-1794209.68145847,58582960.7792087,-17775081.370736,74563832.4684862
"1731",28394375.5488751,-1854396.03027708,58643147.1280273,-17867128.4480577,74655879.5458079
"1732",28394375.5488751,-1914462.86315144,58703213.9609017,-17958992.741516,74747743.8392662
"1733",28394375.5488751,-1974410.88925815,58763161.9870084,-18050675.3357029,74839426.4334531
"1734",28394375.5488751,-2034240.810788,58822991.9085382,-18142177.3045266,74930928.4022768
"1735",28394375.5488751,-2093953.32304189,58882704.4207921,-18233499.7113579,75022250.8091081
"1736",28394375.5488751,-2153549.11452515,58942300.2122754,-18324643.609175,75113394.7069253
"1737",28394375.5488751,-2213028.86704015,59001779.9647904,-18415610.0407046,75204361.1384548
"1738",28394375.5488751,-2272393.25577725,59061144.3535275,-18506400.0385613,75295151.1363115
"1739",28394375.5488751,-2331642.94940433,59120394.0471545,-18597014.6253842,75385765.7231344
"1740",28394375.5488751,-2390778.61015454,59179529.7079048,-18687454.8139716,75476205.9117219
"1741",28394375.5488751,-2449800.89391278,59238551.991663,-18777721.607413,75566472.7051632
"1742",28394375.5488751,-2508710.45030047,59297461.5480507,-18867815.9992185,75656567.0969687
"1743",28394375.5488751,-2567507.92275904,59356259.0205093,-18957738.9734468,75746490.071197
"1744",28394375.5488751,-2626193.94863191,59414945.0463821,-19047491.5048307,75836242.6025809
"1745",28394375.5488751,-2684769.15924505,59473520.2569953,-19137074.5588999,75925825.6566501
"1746",28394375.5488751,-2743234.17998628,59531985.2777365,-19226489.0921024,76015240.1898527
"1747",28394375.5488751,-2801589.63038316,59590340.7281334,-19315736.0519241,76104487.1496743
"1748",28394375.5488751,-2859836.12417953,59648587.2219298,-19404816.3770049,76193567.4747552
"1749",28394375.5488751,-2917974.26941089,59706725.3671611,-19493730.9972551,76282482.0950053
"1750",28394375.5488751,-2976004.66847843,59764755.7662286,-19582480.8339677,76371231.9317179
"1751",28394375.5488751,-3033927.91822182,59822679.015972,-19671066.7999303,76459817.8976805
"1752",28394375.5488751,-3091744.60999088,59880495.7077411,-19759489.7995342,76548240.8972844
"1753",28394375.5488751,-3149455.329716,59938206.4274662,-19847750.7288828,76636501.8266331
"1754",28394375.5488751,-3207060.65797739,59995811.7557276,-19935850.4758969,76724601.5736471
"1755",28394375.5488751,-3264561.17007328,60053312.2678235,-20023789.9204191,76812541.0181693
"1756",28394375.5488751,-3321957.4360869,60110708.5338371,-20111569.9343165,76900321.0320667
"1757",28394375.5488751,-3379250.02095246,60168001.1187027,-20199191.3815815,76987942.4793317
"1758",28394375.5488751,-3436439.48451997,60225190.5822702,-20286655.1184307,77075406.2161809
"1759",28394375.5488751,-3493526.38161917,60282277.4793694,-20373961.993403,77162713.0911532
"1760",28394375.5488751,-3550511.26212223,60339262.3598724,-20461112.8474553,77249863.9452056
"1761",28394375.5488751,-3607394.67100557,60396145.7687558,-20548108.5140572,77336859.6118074
"1762",28394375.5488751,-3664177.14841072,60452928.2461609,-20634949.8192838,77423700.917034
