"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1623",24512507.429067,5650975.34534773,43374039.5127862,-4333716.61001549,53358731.4681494
"1624",26424217.8373782,4831167.18132344,48017268.493433,-6599503.36125463,59447939.0360111
"1625",27394464.8645414,4908293.36095749,49880636.3681253,-6995166.79923539,61784096.5283182
"1626",27886892.6347864,5025730.94041306,50748054.3291598,-7076237.03583085,62850022.3054037
"1627",28136813.6364693,5075447.65617671,51198179.616762,-7132502.06715832,63406129.340097
"1628",28263655.6036702,5069521.91579104,51457789.2915493,-7208710.78646567,63736021.993806
"1629",28328031.4845887,5030079.09942724,51625983.8697501,-7303111.90139027,63959174.8705676
"1630",28360704.0624073,4972359.13709205,51749048.9877225,-7408682.78402675,64130090.9088413
"1631",28377286.3184647,4905122.86831383,51849449.7686156,-7520289.89961223,64274862.5365417
"1632",28385702.2817683,4833082.6578536,51938321.905683,-7634921.03573921,64406325.5992758
"1633",28389973.6208479,4758699.84934225,52021247.3923536,-7750940.8348843,64530888.0765802
"1634",28392141.4460719,4683241.87387462,52101041.0182692,-7867491.42702026,64651774.319164
"1635",28393241.6786018,4607356.42298109,52179126.9342225,-7984130.63696922,64770613.9941728
"1636",28393800.077686,4531372.81616211,52256227.3392099,-8100633.13415177,64888233.2895238
"1637",28394083.4809929,4455457.66237766,52332709.2996081,-8216885.36748113,65005052.3294668
"1638",28394227.3161756,4379694.63540985,52408759.9969414,-8332831.06001966,65121285.6923709
"1639",28394300.3165934,4304125.1993289,52484475.4338579,-8448443.18318672,65237043.8163735
"1640",28394337.3663673,4228769.35811136,52559905.3746231,-8563709.61007843,65352384.3428129
"1641",28394356.1701739,4153636.21688836,52635076.1234595,-8678625.78788812,65467338.128236
"1642",28394365.7136369,4078729.35454405,52710002.0727298,-8793190.99988658,65581922.4271604
"1643",28394370.5572139,4004049.555902,52784691.5585259,-8907406.45995019,65696147.5743781
"1644",28394373.0154661,3929596.20078865,52859149.8301435,-9021274.34180722,65810020.3727394
"1645",28394374.2630985,3855367.97002574,52933380.5561712,-9134797.28481803,65923545.811015
"1646",28394374.8963071,3781363.20407891,53007386.5885354,-9247978.14262854,66036727.9352428
"1647",28394375.2176784,3707580.08509666,53081170.3502602,-9360819.8555822,66149570.2909391
"1648",28394375.3807834,3634016.72915937,53154734.0324075,-9473325.38618112,66262076.147748
"1649",28394375.4635638,3560671.23288294,53228079.6942447,-9585497.68665985,66374248.6137875
"1650",28394375.5055772,3487541.69682335,53301209.3143311,-9697339.6829079,66486090.6940624
"1651",28394375.5269002,3414626.23709359,53374124.8167068,-9808854.26670973,66597605.3205101
"1652",28394375.5377222,3341922.99099519,53446828.0844493,-9920044.29221077,66708795.3676552
