"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1623",97.3401480896791,95.2369222451189,99.4433739342393,94.1235417372534,100.556754442105
"1624",97.3401480896791,94.3656780304065,100.314618148952,92.7910886947966,101.889207484562
"1625",97.3401480896791,93.6969842725637,100.983311906795,91.7684098441788,102.911886335179
"1626",97.3401480896791,93.1331217402195,101.547174439139,90.9060565176806,103.774239661678
"1627",97.3401480896791,92.6362394159214,102.044056763437,90.1461405795616,104.534155599797
"1628",97.3401480896791,92.1869256731823,102.493370506176,89.458974508992,105.221321670366
"1629",97.3401480896791,91.773649688425,102.906646490933,88.8269234331109,105.853372746247
"1630",97.3401480896791,91.3888989182336,103.291397261125,88.2384979082444,106.441798271114
"1631",97.3401480896791,91.02745544865,103.652840730708,87.6857178236365,106.994578355722
"1632",97.3401480896791,90.6855203880325,103.994775791326,87.1627732758867,107.517522903472
"1633",97.3401480896791,90.3602260656934,104.320070113665,86.6652785411438,108.015017638214
"1634",97.3401480896791,90.0493447335029,104.630951445855,86.189826572654,108.490469606704
"1635",97.3401480896791,89.7511048984532,104.929191280905,85.733708105658,108.9465880737
"1636",97.3401480896791,89.4640703374698,105.216225841888,85.2947266265112,109.385569552847
"1637",97.3401480896791,89.1870574770015,105.493238702357,84.8710720156711,109.809224163687
"1638",97.3401480896791,88.9190772399658,105.761218939392,84.4612316102753,110.219064569083
"1639",97.3401480896791,88.6592930471402,106.021003132218,84.0639259728117,110.616370206546
"1640",97.3401480896791,88.4069898050452,106.273306374313,83.6780614621794,111.002234717179
"1641",97.3401480896791,88.161550559501,106.518745619857,83.3026945283839,111.377601650974
"1642",97.3401480896791,87.9224386188722,106.757857560486,82.9370043723998,111.743291806958
"1643",97.3401480896791,87.6891836578733,106.991112521485,82.5802716937745,112.100024485584
"1644",97.3401480896791,87.4613707694583,107.2189254099,82.2318619469394,112.448434232419
"1645",97.3401480896791,87.2386317346276,107.441664444731,81.8912119895311,112.789084189827
"1646",97.3401480896791,87.0206379845467,107.659658194811,81.5578193188805,113.122476860478
"1647",97.3401480896791,86.8070948705199,107.873201308838,81.2312333086943,113.449062870664
"1648",97.3401480896791,86.5977369565087,108.082559222849,80.9110480095831,113.769248169775
"1649",97.3401480896791,86.3923241196441,108.287972059714,80.5968961853091,114.083399994049
"1650",97.3401480896791,86.1906382954402,108.489657883918,80.2884443350211,114.391851844337
"1651",97.3401480896791,85.9924807420341,108.687815437324,79.9853885092685,114.69490767009
"1652",97.3401480896791,85.7976697257496,108.882626453609,79.6874507703785,114.99284540898
"1653",97.3401480896791,85.606038551294,109.074257628064,79.3943761799009,115.285919999457
"1654",97.3401480896791,85.4174338758726,109.262862303486,79.1059302202684,115.57436595909
"1655",97.3401480896791,85.2317142587532,109.448581920605,78.8218965765486,115.85839960281
"1656",97.3401480896791,85.0487489072986,109.63154727206,78.542075218664,116.138220960694
"1657",97.3401480896791,84.8684165878896,109.811879591469,78.2662807357944,116.414015443564
"1658",97.3401480896791,84.6906046759898,109.989691503368,77.9943408835749,116.685955295783
"1659",97.3401480896791,84.5152083242238,110.165087855134,77.7260953117824,116.954200867576
"1660",97.3401480896791,84.3421297310308,110.338166448327,77.4613944458372,117.218901733521
"1661",97.3401480896791,84.171277495421,110.509018683937,77.2000984999881,117.48019767937
"1662",97.3401480896791,84.0025660457621,110.677730133596,76.9420766037169,117.738219575641
"1663",97.3401480896791,83.83591513247,110.844381046888,76.6872060258762,117.993090153482
"1664",97.3401480896791,83.6712493760821,111.009046803276,76.4353714835258,118.244924695832
"1665",97.3401480896791,83.5084978634938,111.171798315864,76.1864645244312,118.493831654927
"1666",97.3401480896791,83.3475937862344,111.332702393124,75.9403829738539,118.739913205504
"1667",97.3401480896791,83.18847411555,111.491822063808,75.6970304376329,118.983265741725
"1668",97.3401480896791,83.0310793098207,111.649216869537,75.4563158547187,119.22398032464
"1669",97.3401480896791,82.8753530504609,111.804943128897,75.2181530932673,119.462143086091
"1670",97.3401480896791,82.7212420029883,111.95905417637,74.9824605852271,119.697835594131
"1671",97.3401480896791,82.5686956003902,112.111600578968,74.7491609950258,119.931135184332
"1672",97.3401480896791,82.4176658462949,112.262630333063,74.5181809185472,120.162115260811
"1673",97.3401480896791,82.2681071357801,112.412189043578,74.2894506090816,120.390845570277
"1674",97.3401480896791,82.1199760919251,112.560320087433,74.0629037273532,120.617392452005
"1675",97.3401480896791,81.9732314164463,112.707064762912,73.8384771130881,120.84181906627
"1676",97.3401480896791,81.8278337529648,112.852462426393,73.6161105758985,121.06418560346
"1677",97.3401480896791,81.6837455616202,112.996550617738,73.3957467035224,121.284549475836
"1678",97.3401480896791,81.5409310039035,113.139365175455,73.1773306856904,121.502965493668
"1679",97.3401480896791,81.3993558367098,113.280940342648,72.9608101520925,121.719486027266
"1680",97.3401480896791,81.258987314721,113.421308864637,72.7461350230865,121.934161156272
"1681",97.3401480896791,81.1197941003362,113.560502079022,72.5332573719475,122.147038807411
"1682",97.3401480896791,80.981746180446,113.698549998912,72.3221312975858,122.358164881772
"1683",97.3401480896791,80.844814789426,113.835481389932,72.1127128067755,122.567583372583
"1684",97.3401480896791,80.7089723377921,113.971323841566,71.9049597050413,122.775336474317
"1685",97.3401480896791,80.5741923460143,114.106103833344,71.6988314954372,122.981464683921
"1686",97.3401480896791,80.4404493830449,114.239846796313,71.4942892845319,123.186006894826
"1687",97.3401480896791,80.307719009152,114.372577170206,71.2912956949808,123.389000484377
"1688",97.3401480896791,80.1759777226988,114.504318456659,71.0898147841323,123.590481395226
